('INTERNALID','ROUTES_161'),
('N10360','15'),
('N10370','16'),
('N10380','16'),
('N10900','16'),
('N10390','16'),
('N10400','16'),
('N10410','16'),
('N10410','17'),
('N10430','16'),
('N10460','13'),
('N10460','15'),
('N10460','16'),
('N10470','16'),
('N10480','16'),
('N10480','17'),
('N10490','16'),
('N10490','17'),
('N10510','16'),
('N10500','16'),
('N10500','17'),
('N10520','16'),
('N10540','16'),
('N10340','15'),
('N10340','16'),
('N10560','16'),
('N10570','16'),
('N10580','16'),
('N10580','17'),
('N10585','13'),
('N10585','15'),
('N10585','16'),
('N10590','17'),
('N10280','13'),
('N10280','15'),
('N10280','16'),
('N10280','17'),
('N10760','16'),
('N10710','16'),
('N10710','17'),
('N10695','16'),
('N10620','13'),
('N10620','15'),
('N10620','16'),
('N10720','16'),
('N10720','17'),
('N10730','16'),
('N10730','17'),
('N10740','16'),
('N10740','17'),
('N10670','16'),
('N10770','16'),
('N10790','16'),
('N10800','16'),
('N10810','16'),
('N10820','16'),
('N10910','16'),
('N70130','13'),
('N70130','15'),
('N70130','16'),
('N10840','16'),
('N10640','16'),
('N10375','17'),
('N10850','16'),
('N10850','17'),
('N10870','16'),
('N10530','16'),
('N10880','16'),
('N10890','16'),
('N10890','17'),
('N10750','16'),
('N10750','17'),
('N10920','16'),
('N10940','16'),
('N71298','17'),
('N71296','17'),
('N71294','17'),
('N71284','17'),
('N71295','17'),
('N71297','17'),
('E70826','69'),
('E70826','P69'),
('E09730','68'),
('E09730','P68'),
('E09810','68'),
('E09810','P68'),
('E09830','68'),
('E09830','P68'),
('E09840','68'),
('E09840','P68'),
('E09870','68'),
('E09870','P68'),
('E09880','68'),
('E09880','P68'),
('E09860','68'),
('E09860','P68'),
('E09900','68'),
('E09900','P68'),
('E09820','68'),
('E09820','P68'),
('E09920','68'),
('E09920','P68'),
('E09930','68'),
('E09930','P68'),
('E10270','68'),
('E10270','P68'),
('E10280','68'),
('E10280','P68'),
('E10287','68'),
('E10287','P68'),
('E10040','68'),
('E10040','P68'),
('E10050','68'),
('E10050','P68'),
('E10070','68'),
('E10070','P68'),
('E10080','68'),
('E10080','P68'),
('E10100','68'),
('E10100','P68'),
('E10150','68'),
('E10150','P68'),
('E10130','68'),
('E10130','P68'),
('E10160','68'),
('E10160','P68'),
('E10165','68'),
('E10165','P68'),
('E10200','68'),
('E10200','P68'),
('E10220','68'),
('E10220','P68'),
('E10300','68'),
('E10300','P68'),
('E10330','68'),
('E10330','P68'),
('E10340','68'),
('E10340','P68'),
('E10475','68'),
('E10475','P68'),
('E10060','68'),
('E10060','P68'),
('E10360','68'),
('E10360','P68'),
('E10410','68'),
('E10410','P68'),
('E10390','68'),
('E10390','P68'),
('E10420','68'),
('E10420','P68'),
('E10425','68'),
('E10425','P68'),
('E10440','68'),
('E10440','P68'),
('E10450','68'),
('E10450','P68'),
('E10490','68'),
('E10490','P68'),
('N10946','21'),
('N10948','21'),
('N10953','21'),
('W02460','27'),
('W02450','27'),
('W23981','27'),
('W02440','27'),
('W02555','27'),
('E70831','93'),
('W70086','24'),
('W02650','24'),
('W70087','24'),
('W02670','24'),
('W70088','24'),
('W02700','24'),
('W70089','24'),
('W02705','24'),
('W02707','24'),
('W02710','24'),
('W02720','24'),
('W70085','24'),
('W02730','24'),
('W02735','24'),
('W02743','24'),
('W02745','24'),
('S70567','56'),
('W02785','24'),
('W02740','24'),
('W02770','24'),
('W02780','24'),
('E70075','69'),
('E70075','P69'),
('E10560','69'),
('E10560','P69'),
('E10620','69'),
('E10620','P69'),
('E10700','69'),
('E10700','P69'),
('E10610','69'),
('E10610','P69'),
('E10650','69'),
('E10650','P69'),
('E10550','69'),
('E10550','P69'),
('E70076','69'),
('E70076','P69'),
('E10680','69'),
('E10680','P69'),
('E10705','69'),
('E10705','P69'),
('E10710','69'),
('E10710','P69'),
('E10740','69'),
('E10740','P69'),
('E10670','69'),
('E10670','P69'),
('X03180','39'),
('X03000','39'),
('X03030','39'),
('X03410','39'),
('X03050','39'),
('X70021','39'),
('X03110','39'),
('X03250','39'),
('X03430','39'),
